TenantId,TimeGenerated [Local Time],SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,SourceComputerId,EventOriginId,MG,TimeCollected [Local Time],ManagementGroupName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,Type,_ResourceId
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:29.793 AM",OpsManager,NT AUTHORITY\SYSTEM,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,12544,0,,4624,4624 - An account was successfully logged on.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%1842,,,,,,,,,,,,,,,,,%%1833,,-,-,0,-,,,,,,00000000-0000-0000-0000-000000000000,,,Advapi  ,5,5 - Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,services.exe,0x2c0,C:\Windows\System32\services.exe,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,NT AUTHORITY\SYSTEM,NT AUTHORITY,,0x0,,0x3e7,-,-,,,,SYSTEM,S-1-5-18,,,,,,,,-,,,,,%%1843,,,-,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:29.793 AM",OpsManager,NT AUTHORITY\SYSTEM,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,12548,0,,4672,4672 - Special privileges assigned to new logon.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege 			SeTcbPrivilege 			SeSecurityPrivilege 			SeTakeOwnershipPrivilege 			SeLoadDriverPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeDebugPrivilege 			SeAuditPrivilege 			SeSystemEnvironmentPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT AUTHORITY\SYSTEM,,,,NT AUTHORITY,,0x3e7,,,SYSTEM,S-1-5-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:29.794 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\system32\wbem\WmiApSrv.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0xd98,C:\Windows\System32\wbem\WmiApSrv.exe,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\services.exe,,,,,,,,,WmiApSrv.exe,0x2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:30.951 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""C:\Program Files\Microsoft Monitoring Agent\Agent\Health Service State\Resources\303\pmfexe.exe"" -PerfMode optimize -quickscan -event -alldetectors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0x184c,C:\Program Files\Microsoft Monitoring Agent\Agent\Health Service State\Resources\303\pmfexe.exe,,,,,,,,,,,,,,,,,,,,C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe,,,,,,,,,pmfexe.exe,0x13d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:30.993 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0xae8,C:\Windows\System32\conhost.exe,,,,,,,,,,,,,,,,,,,,C:\Program Files\Microsoft Monitoring Agent\Agent\Health Service State\Resources\303\pmfexe.exe,,,,,,,,,conhost.exe,0x184c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:34.002 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0x338,C:\Windows\System32\cscript.exe,,,,,,,,,,,,,,,,,,,,C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe,,,,,,,,,cscript.exe,0x13d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:34.007 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0xf64,C:\Windows\System32\conhost.exe,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\cscript.exe,,,,,,,,,conhost.exe,0x338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:54:34.980 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:54:53.098 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0x7ac,C:\Windows\System32\wbem\WmiPrvSE.exe,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\svchost.exe,,,,,,,,,WmiPrvSE.exe,0x350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY,,,,0x3e5,,,,,,LOCAL SERVICE,S-1-5-19,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:55:24.158 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:55:53.082 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""C:\Windows\system32\rundll32.exe"" /d acproxy.dll,PerformAutochkOperations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0xc70,C:\Windows\System32\rundll32.exe,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\svchost.exe,,,,,,,,,rundll32.exe,0x92c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
d98d5aec-0845-4ade-a7c6-56d1580b2cbd,"8/15/2023, 8:55:34.001 AM",OpsManager,WORKGROUP\AMALabvm1$,Machine,AMALabvm1,Microsoft-Windows-Security-Auditing,Security,13312,0,,4688,4688 - A new process has been created.,5907462f-a7f1-418e-88d7-f2347de27b35,5907462f-a7f1-418e-88d7-f2347de27b34,00000000-0000-0000-0000-000000000001,"8/15/2023, 8:55:53.082 AM",AOI-d98d5aec-0845-4ade-a7c6-56d1580b2cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,,,,,,,,0x1830,C:\Windows\System32\cscript.exe,,,,,,,,,,,,,,,,,,,,C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe,,,,,,,,,cscript.exe,0x13d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORKGROUP\AMALabvm1$,,,,WORKGROUP,,0x3e7,,,AMALabvm1$,S-1-5-18,,,-\-,-,,,,0x0,,,,,,-,S-1-0-0,,,,,,,%%1936,,,,,,,,,,,,,,,SecurityEvent,/subscriptions/abb0e44a-ef30-45eb-8e9c-e86cf5da5c6c/resourcegroups/ama_lab_rg/providers/microsoft.compute/virtualmachines/amalabvm1
